Date,Country,Latitude,Longitude,Temperature,Humidity
2010-01-01,United States,37.0902,-95.7129,-3.01,99.03
2010-01-01,Canada,56.1304,-106.3468,-25.64,100.00
2010-01-01,Brazil,-14.235,-51.9253,29.19,56.91
2010-01-01,United Kingdom,55.3781,-3.436,1.21,85.57
2010-01-01,Germany,51.1657,10.4515,-2.81,94.20
2010-01-01,India,20.5937,78.9629,13.82,72.60
2010-01-01,China,35.8617,104.1954,-3.61,92.66
2010-01-01,Australia,-25.2744,133.7751,31.03,56.32
2010-01-01,South Africa,-30.5595,22.9375,25.61,65.54
2010-01-01,Russia,61.524,105.3188,-31.17,100.00
2010-01-01,Japan,36.2048,138.2529,4.19,86.10
2010-01-01,Argentina,-38.4161,-63.6167,24.72,68.91
2010-01-01,France,46.2276,2.2137,0.28,98.71
2010-01-01,Italy,41.8719,12.5674,1.12,92.36
2010-01-01,Spain,40.4637,-3.7492,2.48,89.63
2010-01-01,Mexico,23.6345,-102.5528,13.93,71.76
2010-01-01,Indonesia,-0.7893,113.9213,28.93,51.56
2010-01-01,Nigeria,9.082,8.6753,23.61,59.34
2010-01-01,Egypt,26.8206,30.8025,11.89,75.37
2010-01-01,Saudi Arabia,23.8859,45.0792,9.21,78.04
2010-01-01,Sweden,60.1282,18.6435,-16.11,100.00
2010-01-01,Norway,60.472,8.4689,-13.05,100.00
2010-01-01,Chile,-35.6751,-71.543,20.12,70.73
2010-01-01,New Zealand,-40.9006,174.886,19.42,75.40
2010-02-01,United States,37.0902,-95.7129,0.04,99.82
2010-02-01,Canada,56.1304,-106.3468,-23.42,100.00
2010-02-01,Brazil,-14.235,-51.9253,29.90,59.19
2010-02-01,United Kingdom,55.3781,-3.436,1.24,85.99
2010-02-01,Germany,51.1657,10.4515,-2.06,93.17
2010-02-01,India,20.5937,78.9629,14.75,79.93
2010-02-01,China,35.8617,104.1954,-1.38,100.00
2010-02-01,Australia,-25.2744,133.7751,31.91,59.12
2010-02-01,South Africa,-30.5595,22.9375,25.03,70.22
2010-02-01,Russia,61.524,105.3188,-25.83,100.00
2010-02-01,Japan,36.2048,138.2529,5.72,85.60
2010-02-01,Argentina,-38.4161,-63.6167,21.46,68.54
2010-02-01,France,46.2276,2.2137,3.56,90.43
2010-02-01,Italy,41.8719,12.5674,4.11,89.45
2010-02-01,Spain,40.4637,-3.7492,5.51,89.66
2010-02-01,Mexico,23.6345,-102.5528,15.19,67.89
2010-02-01,Indonesia,-0.7893,113.9213,28.08,60.28
2010-02-01,Nigeria,9.082,8.6753,22.95,71.55
2010-02-01,Egypt,26.8206,30.8025,13.18,74.70
2010-02-01,Saudi Arabia,23.8859,45.0792,11.39,73.69
2010-02-01,Sweden,60.1282,18.6435,-11.63,100.00
2010-02-01,Norway,60.472,8.4689,-10.47,100.00
2010-02-01,Chile,-35.6751,-71.543,18.51,69.37
2010-02-01,New Zealand,-40.9006,174.886,18.20,68.99
2010-03-01,United States,37.0902,-95.7129,5.08,80.48
2010-03-01,Canada,56.1304,-106.3468,-15.58,100.00
2010-03-01,Brazil,-14.235,-51.9253,28.20,60.77
2010-03-01,United Kingdom,55.3781,-3.436,5.52,91.84
2010-03-01,Germany,51.1657,10.4515,3.28,83.89
2010-03-01,India,20.5937,78.9629,18.13,73.80
2010-03-01,China,35.8617,104.1954,4.04,84.76
2010-03-01,Australia,-25.2744,133.7751,25.88,59.71
2010-03-01,South Africa,-30.5595,22.9375,22.45,70.33
2010-03-01,Russia,61.524,105.3188,-17.76,100.00
2010-03-01,Japan,36.2048,138.2529,10.00,80.16
2010-03-01,Argentina,-38.4161,-63.6167,18.35,68.65
2010-03-01,France,46.2276,2.2137,6.92,87.48
2010-03-01,Italy,41.8719,12.5674,9.12,85.52
2010-03-01,Spain,40.4637,-3.7492,8.35,90.32
2010-03-01,Mexico,23.6345,-102.5528,16.28,76.79
2010-03-01,Indonesia,-0.7893,113.9213,27.78,54.10
2010-03-01,Nigeria,9.082,8.6753,23.97,67.03
2010-03-01,Egypt,26.8206,30.8025,17.18,69.01
2010-03-01,Saudi Arabia,23.8859,45.0792,17.62,67.87
2010-03-01,Sweden,60.1282,18.6435,-6.63,97.43
2010-03-01,Norway,60.472,8.4689,-5.03,100.00
2010-03-01,Chile,-35.6751,-71.543,15.97,75.31
2010-03-01,New Zealand,-40.9006,174.886,16.14,67.02
2010-04-01,United States,37.0902,-95.7129,11.61,78.31
2010-04-01,Canada,56.1304,-106.3468,-5.83,98.62
2010-04-01,Brazil,-14.235,-51.9253,26.05,57.06
2010-04-01,United Kingdom,55.3781,-3.436,10.21,78.77
2010-04-01,Germany,51.1657,10.4515,8.22,80.80
2010-04-01,India,20.5937,78.9629,23.25,58.53
2010-04-01,China,35.8617,104.1954,13.46,76.23
2010-04-01,Australia,-25.2744,133.7751,21.63,72.56
2010-04-01,South Africa,-30.5595,22.9375,18.85,75.10
2010-04-01,Russia,61.524,105.3188,-4.99,100.00
2010-04-01,Japan,36.2048,138.2529,13.82,83.11
2010-04-01,Argentina,-38.4161,-63.6167,13.96,82.33
2010-04-01,France,46.2276,2.2137,10.52,82.20
2010-04-01,Italy,41.8719,12.5674,15.18,72.31
2010-04-01,Spain,40.4637,-3.7492,15.56,72.20
2010-04-01,Mexico,23.6345,-102.5528,20.35,72.55
2010-04-01,Indonesia,-0.7893,113.9213,27.60,66.11
2010-04-01,Nigeria,9.082,8.6753,27.51,62.20
2010-04-01,Egypt,26.8206,30.8025,23.11,58.79
2010-04-01,Saudi Arabia,23.8859,45.0792,25.64,56.87
2010-04-01,Sweden,60.1282,18.6435,2.95,95.90
2010-04-01,Norway,60.472,8.4689,2.58,95.95
2010-04-01,Chile,-35.6751,-71.543,11.30,80.98
2010-04-01,New Zealand,-40.9006,174.886,9.95,88.39
2010-05-01,United States,37.0902,-95.7129,20.11,66.26
2010-05-01,Canada,56.1304,-106.3468,3.95,94.48
2010-05-01,Brazil,-14.235,-51.9253,22.54,60.80
2010-05-01,United Kingdom,55.3781,-3.436,15.23,82.08
2010-05-01,Germany,51.1657,10.4515,16.17,75.35
2010-05-01,India,20.5937,78.9629,28.90,56.28
2010-05-01,China,35.8617,104.1954,21.94,72.18
2010-05-01,Australia,-25.2744,133.7751,16.56,69.36
2010-05-01,South Africa,-30.5595,22.9375,13.14,71.10
2010-05-01,Russia,61.524,105.3188,8.73,78.54
2010-05-01,Japan,36.2048,138.2529,21.89,73.75
2010-05-01,Argentina,-38.4161,-63.6167,8.63,78.40
2010-05-01,France,46.2276,2.2137,16.76,70.67
2010-05-01,Italy,41.8719,12.5674,19.59,75.56
2010-05-01,Spain,40.4637,-3.7492,20.30,64.33
2010-05-01,Mexico,23.6345,-102.5528,24.93,58.99
2010-05-01,Indonesia,-0.7893,113.9213,26.07,62.52
2010-05-01,Nigeria,9.082,8.6753,29.91,62.05
2010-05-01,Egypt,26.8206,30.8025,26.64,61.90
2010-05-01,Saudi Arabia,23.8859,45.0792,33.64,59.57
2010-05-01,Sweden,60.1282,18.6435,11.97,74.71
2010-05-01,Norway,60.472,8.4689,9.40,87.87
2010-05-01,Chile,-35.6751,-71.543,9.24,81.54
2010-05-01,New Zealand,-40.9006,174.886,7.23,84.09
2010-06-01,United States,37.0902,-95.7129,24.09,57.23
2010-06-01,Canada,56.1304,-106.3468,13.14,79.92
2010-06-01,Brazil,-14.235,-51.9253,20.67,63.55
2010-06-01,United Kingdom,55.3781,-3.436,19.87,62.43
2010-06-01,Germany,51.1657,10.4515,18.64,75.25
2010-06-01,India,20.5937,78.9629,32.14,47.61
2010-06-01,China,35.8617,104.1954,28.78,62.18
2010-06-01,Australia,-25.2744,133.7751,13.69,78.26
2010-06-01,South Africa,-30.5595,22.9375,12.06,77.70
2010-06-01,Russia,61.524,105.3188,15.79,69.28
2010-06-01,Japan,36.2048,138.2529,24.58,67.29
2010-06-01,Argentina,-38.4161,-63.6167,6.19,90.25
2010-06-01,France,46.2276,2.2137,19.19,72.27
2010-06-01,Italy,41.8719,12.5674,25.18,61.39
2010-06-01,Spain,40.4637,-3.7492,26.48,64.97
2010-06-01,Mexico,23.6345,-102.5528,26.85,61.26
2010-06-01,Indonesia,-0.7893,113.9213,25.18,65.88
